time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
12407,163.71733657836913,20,0.001,592.63,-2058.97047773,250526,0.99,250400,231,137.58056133270264
12435,163.84902099609374,20,0.001,593.64,-2069.1469641999997,251158,0.99,251000,232,484.73085582733154
12463,160.52075714111328,20,0.001,594.3,-2075.78792113,251690,0.99,251500,233,198.6579755783081
12481,162.61485275268555,20,0.001,594.97,-2072.80866988,251998,0.99,251800,234,258.2871548080444
12533,162.1433303833008,20,0.001,602.68,-2108.7979903500004,253072,0.99,252900,235,432.68256450653075
12562,166.99169677734375,20,0.001,604.2,-2120.58718043,253729,0.99,253600,236,559.04163230896
12572,165.52115188598634,20,0.001,603.58,-2122.82991338,253966,0.99,253800,237,365.879069442749
12594,160.1784358215332,20,0.001,601.36,-2110.65282944,254293,0.99,254100,238,449.8009285354614
12672,165.68524093627929,20,0.001,609.41,-2127.88896022,255934,0.99,255800,239,347.043178062439
12674,,20,,606.85,-2111.28397627,255975,0.99,,240,
12691,161.99783645629884,20,0.001,606.97,-2099.61263322,256369,0.99,256200,241,430.78495948791505
12713,164.80202713012696,20,0.001,604.52,-2089.5968503,256718,0.99,256600,242,335.3048063659668
12748,166.63244888305664,20,0.001,600.79,-2125.99909383,257509,0.99,257400,243,269.8255530548096
12768,169.32899871826172,20,0.001,599.26,-2142.0747072100003,257876,0.99,257700,244,362.6454919433594
12784,162.7171109008789,20,0.001,590.43,-2122.4402204300004,258111,0.99,258000,245,438.00053230285647
12806,164.29609603881835,20,0.001,591.09,-2128.32589122,258629,0.99,258500,246,333.6456711959839
12829,166.1921142578125,20,0.001,592.26,-2146.10390753,259083,0.99,258900,247,288.3569076156616
12847,167.02892532348633,20,0.001,579.55,-2137.88363561,259396,0.99,259200,248,231.02982936859132
12856,160.5998777770996,20,0.001,576.35,-2135.72905468,259599,0.99,259400,249,179.82755977630615
12874,167.12663528442383,20,0.001,577.39,-2134.06400779,260005,0.99,259900,250,279.56334159851076
12914,168.50042114257812,20,0.001,582.4,-2158.7180769999995,260707,0.99,260600,251,228.84653392791748
12951,169.86477935791015,20,0.001,587.37,-2203.80548427,261497,0.99,261300,252,216.18843509674073
12975,167.22240753173827,20,0.001,581.49,-2205.60758428,261913,0.99,261800,253,280.34472450256345
12991,165.5639077758789,20,0.001,578.19,-2195.3588452100003,262273,0.99,262100,254,320.12317577362063
