train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
376.9017272949219,8132,5515.295718383789,21.47,416077,0.001,5516,-26.198686819999992,75,0.89,415960
374.41636352539064,8136,6843.139935302735,21.17,416121,0.001,5534,-25.577532650000002,75,0.89,416020
375.096484375,8140,5845.361181640625,20.72,416146,0.001,5559,-25.051495659999997,74,0.89,416040
381.7108489990234,8144,4741.831997680664,20.92,416190,0.001,5579,-25.25992099,74,0.89,416080
378.13746337890626,8148,5742.131384277343,20.05,416222,0.001,5590,-24.443941310000003,74,0.9,416120
383.5154663085938,8152,3977.338726806641,20.14,416271,0.001,5610,-23.91200395,74,0.9,416160
379.4382629394531,8156,6122.236901855469,19.11,416296,0.001,5620,-19.779652289999998,74,0.91,416180
371.60167541503904,8160,7908.4780548095705,18.54,416360,0.001,5639,-20.81582457,73,0.92,416240
373.60069885253904,8164,6012.3861633300785,18.46,416389,0.001,5655,-20.402668030000008,73,0.92,416280
377.75058898925784,8168,4760.084637451172,18.83,416487,0.001,5689,-21.777695180000002,73,0.92,416380
377.22142028808594,8172,5723.837994384766,17.31,416555,0.001,5718,-19.108675820000002,72,0.94,416440
372.46967163085935,8176,5991.553038024902,17.92,416652,0.001,5749,-19.623056620000003,72,0.94,416540
369.5572052001953,8180,6993.987384033203,18.65,416761,0.001,5793,-20.76657317,71,0.94,416660
374.8405364990234,8184,6642.320907592773,18.51,416789,0.001,5815,-21.05821207,71,0.94,416680
384.59642639160154,8188,4230.70544128418,18.38,416809,0.001,5839,-20.525613469999993,71,0.94,416700
379.02069396972655,8192,6122.285589599609,19.08,416926,0.001,5880,-24.52261849,70,0.93,416820
379.0718963623047,8196,5837.284747314453,18.19,416965,0.001,5892,-22.007241930000006,70,0.94,416860
370.2520416259766,8200,7100.173675537109,17.06,417010,0.001,5912,-20.0286362,70,0.95,416900
375.1422454833984,8204,6155.3689453125,17.04,417033,0.001,5927,-20.252487329999997,70,0.95,416920
378.7728576660156,8208,4784.285830688476,17.06,417071,0.001,5942,-20.3426235,70,0.95,416960
376.16242065429685,8212,6039.604638671875,17.96,417208,0.001,5989,-21.21975931,69,0.94,417100
373.72276000976564,8216,7426.633813476563,16.89,417240,0.001,6015,-16.61016997,69,0.95,417120
377.9382781982422,8220,7404.05615234375,16.94,417365,0.001,6056,-16.071032919999997,68,0.94,417260
379.14552612304686,8224,5041.964074707032,17.01,417502,0.001,6099,-20.324759089999997,68,0.94,417400
379.6606170654297,8228,5045.918933105469,16.19,417648,0.001,6135,-16.878390829999997,68,0.95,417540
382.9612518310547,8232,4952.445761108398,16.05,417682,0.001,6151,-16.80295109,67,0.95,417580
378.3701599121094,8236,7672.305584716797,17.39,417860,0.001,6196,-18.788126180000003,67,0.94,417740
372.4091491699219,8240,6842.218835449219,17.51,417897,0.001,6217,-18.915009689999998,67,0.94,417780
376.9278228759766,8244,5972.344989013672,19.31,418121,0.001,6280,-19.959776459999997,66,0.92,418020
381.1091796875,8248,6031.207803344727,21.15,418337,0.001,6330,-25.78078202,66,0.9,418220
380.4847076416016,8252,6843.809118652343,21.11,418382,0.001,6371,-25.909819549999998,65,0.9,418280
378.3911102294922,8256,4717.115667724609,21.19,418415,0.001,6388,-26.03388909,65,0.9,418300
376.84804382324216,8260,6566.0123840332035,21.81,418541,0.001,6425,-25.128641039999998,65,0.89,418440
381.1228424072266,8264,5997.099172973632,21.83,418572,0.001,6445,-25.5763209,64,0.89,418460
378.64520874023435,8268,5987.968249511719,21.36,418623,0.001,6466,-25.194416509999996,64,0.89,418520
383.0135925292969,8272,5844.28141784668,21.02,418657,0.001,6481,-24.642796559999997,64,0.89,418540
383.5356140136719,8276,6864.214419555664,22.21,418873,0.001,6542,-29.929343900000003,64,0.87,418760
385.8873992919922,8280,5630.360186767578,22.4,419001,0.001,6592,-29.711150600000007,63,0.86,418900
379.68414916992185,8284,5858.72060546875,22.33,419022,0.001,6613,-29.37288482000001,63,0.86,418920
378.4110443115234,8288,7376.182385253906,22.74,419083,0.001,6644,-29.992384199999996,63,0.86,418980
382.6448089599609,8292,4757.832574462891,21.86,419112,0.001,6662,-26.71940826,62,0.87,419000
380.3797607421875,8296,5730.524444580078,21.79,419144,0.001,6684,-26.223889539999995,62,0.87,419040
382.9466125488281,8300,5503.132897949219,22.53,419263,0.001,6724,-26.169388910000002,62,0.86,419160
380.189794921875,8304,5645.130224609375,22.86,419319,0.001,6740,-27.178122090000002,62,0.86,419200
378.5482543945312,8308,5527.38032836914,23.12,419383,0.001,6767,-27.314461390000005,61,0.86,419280
379.3093780517578,8312,5514.168286132813,22.98,419506,0.001,6794,-31.238110659999993,61,0.86,419400
377.29259338378904,8316,5873.8372253417965,23.04,419544,0.001,6807,-31.32429906000001,61,0.86,419440
383.6831481933594,8320,7244.0953918457035,23.09,419674,0.001,6839,-36.22668703,61,0.86,419560
379.39118041992185,8324,7131.905969238282,23.0,419802,0.001,6879,-33.338486,61,0.86,419700
381.79766845703125,8328,8263.875653076171,22.8,419928,0.001,6912,-30.90490297,60,0.86,419820
383.7195709228516,8332,5020.299411010742,23.64,420046,0.001,6955,-31.29890652,60,0.85,419940
377.06744689941405,8336,5320.773870849609,22.29,420089,0.001,6977,-29.75950796,60,0.86,419980
378.0411407470703,8340,6638.926037597656,23.2,420217,0.001,7010,-30.642091720000003,59,0.85,420100
376.8141174316406,8344,7460.090490722656,21.13,420234,0.001,7018,-29.23786115,59,0.87,420120
379.48113403320315,8348,6758.004260253906,19.42,420279,0.001,7032,-23.963141859999997,59,0.89,420160
376.52423706054685,8352,6064.2191711425785,21.1,420492,0.001,7087,-29.173456419999994,59,0.87,420380
375.47901611328126,8356,7432.370031738281,21.85,420600,0.001,7130,-30.417313900000003,58,0.87,420480
378.9906951904297,8360,6183.447314453125,21.09,420650,0.001,7152,-30.416773509999995,58,0.88,420540
375.76287841796875,8364,6940.705514526368,22.03,420775,0.001,7182,-30.578083000000003,58,0.87,420660
377.50669250488284,8368,5978.878912353515,22.76,420899,0.001,7214,-32.05822183,58,0.86,420780
378.9002746582031,8372,4618.475622558593,24.53,421110,0.001,7282,-33.97112744,57,0.85,421000
378.3501373291016,8376,5570.608114624023,23.66,421239,0.001,7315,-29.150861699999997,57,0.86,421120
381.1750793457031,8380,7945.283538818359,22.75,421276,0.001,7328,-28.883733149999994,57,0.87,421160
379.5779144287109,8384,6241.982974243164,23.69,421391,0.001,7390,-33.89630717999999,57,0.86,421280
376.8073699951172,8388,6148.70888671875,24.32,421515,0.001,7414,-34.63754545999999,56,0.85,421400
377.58762817382814,8392,5411.9623352050785,24.27,421539,0.001,7423,-33.8647308,56,0.85,421420
378.7915985107422,8396,5948.141513061523,24.29,421573,0.001,7447,-34.79266188,56,0.85,421460
377.3020904541016,8400,6430.956808471679,24.46,421709,0.001,7494,-38.526225620000005,56,0.85,421600
382.1705841064453,8404,5698.550485229493,26.96,422015,0.001,7580,-45.59675484,55,0.82,421900
379.2622802734375,8408,6088.603851318359,27.54,422137,0.001,7615,-48.455557760000005,55,0.81,422020
380.9091461181641,8412,7238.087762451172,27.74,422280,0.001,7651,-45.4016302,55,0.81,422160
380.25181884765624,8416,6441.327981567383,28.59,422403,0.001,7687,-50.39834438,54,0.8,422300
376.71722412109375,8420,6292.35634765625,28.6,422534,0.001,7738,-45.35937763,54,0.8,422420
378.96910400390624,8424,5790.245498657227,29.47,422749,0.001,7794,-45.14232581,54,0.79,422640
378.147412109375,8428,6926.08451538086,31.26,423054,0.001,7862,-56.22464700000001,53,0.77,422940
378.3386505126953,8432,4702.313589477539,30.43,423089,0.001,7885,-55.92047192,53,0.78,422980
374.76145629882814,8436,5508.026528930664,31.35,423224,0.001,7921,-56.476556009999996,53,0.77,423120
378.98890380859376,8440,6863.434246826172,31.34,423351,0.001,7963,-56.4560905,53,0.77,423240
378.5636840820313,8444,6419.397265625,31.68,423402,0.001,7990,-56.92810685000001,52,0.77,423300
377.8611663818359,8448,6266.258392333984,31.61,423440,0.001,8005,-56.863681619999994,52,0.77,423320
372.6706176757813,8452,8443.511560058594,30.34,423526,0.001,8029,-53.34537997999999,52,0.79,423420
380.64270935058596,8456,4444.740087890625,29.56,423556,0.001,8049,-52.007464600000006,52,0.79,423440
381.4224456787109,8460,4860.8723419189455,30.38,423688,0.001,8087,-52.70525138,52,0.78,423580
376.04876403808595,8464,6150.719250488281,29.44,423719,0.001,8098,-52.60411708999999,52,0.79,423600
375.22890625,8468,6503.540417480469,29.51,423850,0.001,8140,-51.283817,52,0.79,423740
382.4258514404297,8472,5270.143707275391,27.93,423903,0.001,8164,-49.32850325999999,51,0.8,423800
382.9354522705078,8476,6091.878018188477,27.74,424013,0.001,8187,-50.69776841000001,51,0.8,423900
373.6537567138672,8480,6557.382357788086,29.93,424269,0.001,8248,-55.86670362999999,51,0.78,424160
379.9325836181641,8484,5206.866711425781,29.1,424301,0.001,8257,-50.805834130000015,51,0.79,424200
380.43865661621095,8488,6750.054718017578,28.27,424342,0.001,8272,-50.27715631,51,0.8,424240
381.9652465820312,8492,4903.980545043945,29.3,424469,0.001,8321,-51.118620699999994,51,0.79,424360
380.80750427246096,8496,6278.531799316406,29.25,424498,0.001,8337,-50.46313461999999,50,0.79,424380
377.4488067626953,8500,6544.0598815917965,29.29,424638,0.001,8384,-47.43603805,50,0.8,424520
378.6192138671875,8504,7327.59826965332,26.56,424671,0.001,8396,-39.47648196,50,0.83,424560
373.0380889892578,8508,6413.891162109375,25.82,424719,0.001,8420,-36.940338180000005,50,0.84,424600
379.3227478027344,8512,5025.753414916992,26.03,424883,0.001,8469,-36.01809854,50,0.84,424780
375.8301696777344,8516,5561.81616821289,26.1,425013,0.001,8517,-32.410190889999996,49,0.84,424900
