time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
23064,40.64340591430664,0.05012606084346771,75.51581573486328,-144.8039724,-6.5552897453308105,0.05,1588,6,0.0003,155927,0.11707649379968643,96.91,7791
23290,67.91337585449219,0.05012847110629082,75.49626159667969,-145.00360772000002,-7.275699615478516,0.05,1592,6,0.0003,156327,0.11656248569488525,96.91,7811
23468,70.00082397460938,0.05012929067015648,75.66827392578125,-145.28162523,-6.514198303222656,0.05,1596,6,0.0003,156641,0.1161498874425888,96.6,7827
23643,62.31410217285156,0.05013148486614227,75.23304748535156,-142.96299143,-5.3894124031066895,0.05,1600,6,0.0003,157041,0.1156589463353157,96.6,7847
23854,47.72456741333008,0.050131820142269135,76.08707427978516,-143.10780887,-7.761166572570801,0.05,1604,6,0.0003,157441,0.11514405161142349,96.6,7867
24080,61.93160629272461,0.050129592418670654,75.66168975830078,-144.79486566,-6.036314010620117,0.04,1608,6,0.0003,157841,0.11459223926067352,97.37,7887
24285,4.9620680809021,0.050132691860198975,75.91732788085938,-147.35894152999998,-4.794116973876953,0.04,1612,6,0.0003,158241,0.11410938203334808,97.37,7907
24473,91.21726989746094,0.050131656229496,75.3612289428711,-146.73642531000002,-6.772150993347168,0.05,1616,6,0.0003,158607,0.11364836245775223,97.03,7925
24675,85.42103576660156,0.05013042688369751,74.72380065917969,-142.80837492,-7.977515697479248,0.05,1620,6,0.0003,159007,0.11312361806631088,97.03,7945
24911,4.279463768005371,0.05013110861182213,75.27323913574219,-136.26184573000003,-5.810037612915039,0.05,1624,6,0.0003,159407,0.11262380331754684,97.03,7965
25115,49.29426574707031,0.05013267323374748,75.75934600830078,-135.55066920000002,-12.529427528381348,0.05,1628,6,0.0003,159807,0.1121487244963646,97.03,7985
25327,27.380573272705078,0.05013272166252136,75.31838989257812,-138.39957263999997,-8.97415828704834,0.06,1632,6,0.0003,160205,0.1116672158241272,97.01,8005
25556,145.72265625,0.050129394978284836,75.20210266113281,-135.26282697,-6.146821022033691,0.06,1636,6,0.0003,160605,0.11114154756069183,97.01,8025
25790,22.464059829711914,0.0501270517706871,75.78689575195312,-134.03349871,-7.068001747131348,0.06,1640,6,0.0003,161005,0.11060872673988342,97.01,8045
26001,65.04718780517578,0.05012764781713486,75.77851867675781,-134.95004846,-6.168952941894531,0.05,1644,6,0.0003,161405,0.11011335253715515,97.7,8065
26212,67.46531677246094,0.05012775585055351,76.15689849853516,-132.53346767000002,-4.757486820220947,0.05,1648,6,0.0003,161805,0.10960908979177475,97.7,8085
26421,96.26811218261719,0.05012918636202812,76.09896087646484,-128.67571679,-4.139871597290039,0.05,1652,6,0.0003,162205,0.10913263261318207,97.7,8105
26630,92.89915466308594,0.05012820288538933,76.03815460205078,-130.47095013,-5.21631383895874,0.05,1656,6,0.0003,162605,0.10865683853626251,97.7,8125
26785,87.50146484375,0.05012639984488487,76.39299774169922,-128.17325385,-8.322162628173828,0.07,1660,6,0.0003,162884,0.1083158627152443,96.49,8139
26985,48.99375915527344,0.050122298300266266,75.81465911865234,-125.87116558000001,-3.4579625129699707,0.07,1664,6,0.0003,163284,0.10783900320529938,96.49,8159
27196,46.588680267333984,0.05012274533510208,75.66500854492188,-123.92232864000002,-9.453413009643555,0.07,1668,6,0.0003,163684,0.10738979279994965,96.49,8179
27374,63.96324157714844,0.05012034997344017,75.92040252685547,-122.49506848000001,-5.686611652374268,0.07,1672,5,0.0003,164021,0.10696347802877426,96.66,8196
27586,70.62593078613281,0.05011656880378723,75.69983673095703,-121.29915043000004,-10.561559677124023,0.06,1676,5,0.0003,164421,0.10644406080245972,96.94,8216
27780,44.76898193359375,0.05011565610766411,75.86913299560547,-118.60296315,-7.149365425109863,0.06,1680,5,0.0003,164821,0.10598447173833847,96.94,8236
27969,107.48402404785156,0.05011483281850815,75.4027328491211,-116.27062741,-8.782209396362305,0.06,1684,5,0.0003,165221,0.10548509657382965,96.94,8256
28167,116.92790222167969,0.0501108393073082,74.73725891113281,-118.77111350999998,-6.9957122802734375,0.06,1688,5,0.0003,165621,0.10497821867465973,96.94,8276
28377,87.04779052734375,0.05011194199323654,75.41072082519531,-120.64510579,-4.265513896942139,0.06,1692,5,0.0003,166021,0.10452373325824738,96.94,8296
28585,71.0785903930664,0.05010860413312912,76.0069808959961,-122.83947678,-6.60288143157959,0.05,1696,5,0.0003,166421,0.10404281318187714,97.8,8316
