time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
47926,-232359.94101404,2010.6406518554688,1003,11654.89,7879900,0.001,164,7880096,0.46,9599.98282836914
48280,-232365.5489096,1991.337763671875,1004,11682.21,7894000,0.001,163,7894102,0.46,8333.876164550782
48461,-230767.76163195004,2008.7583544921874,1005,11603.65,7901100,0.001,163,7901246,0.47,20259.120263671874
48841,-229628.48748324002,1986.8561328125,1006,11614.15,7916100,0.001,162,7916246,0.46,10091.100670166015
49013,-228018.25000879998,1991.0139990234375,1007,11531.53,7922800,0.001,161,7922984,0.47,12408.671909179688
49392,-227517.53294448,1992.3055688476563,1008,11531.53,7937800,0.001,160,7937984,0.47,8081.598837890625
49487,-220176.81938233,2009.4939208984374,1009,11419.09,7941600,0.001,160,7941740,0.48,16490.21791015625
49861,-219795.83553651,1997.2537866210937,1010,11416.21,7956300,0.001,159,7956452,0.49,9452.019158935547
50152,-221216.16793316999,1974.4271899414061,1011,11482.69,7967900,0.001,158,7968044,0.49,10023.634348144531
50361,-219832.57955074002,1983.4619677734374,1012,11415.2,7976100,0.001,158,7976295,0.5,8561.35310180664
50741,-219644.83526798003,1980.4972900390626,1013,11415.2,7991100,0.001,157,7991295,0.5,23031.501535644533
