rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
63.36,60,211460,211569,0.001,-46.1308942,359.0942346572876,2598,0.5,3506,134.78083343505858
63.1,60,211480,211583,0.001,-46.05457058,474.75045547485354,2599,0.5,3517,134.8281494140625
63.1,59,211580,211683,0.001,-46.02339778999999,684.5804328918457,2600,0.5,3535,136.07210540771484
63.99,59,211680,211783,0.001,-46.87582766999999,510.6400665283203,2601,0.49,3556,135.83199768066407
63.4,59,211720,211824,0.001,-46.152370379999994,438.5860441207886,2602,0.5,3574,135.58187255859374
62.53,59,,211837,,-45.36866590999999,,2603,0.51,3578,
62.51,59,211740,211847,0.001,-45.25662936,422.41245193481444,2604,0.51,3583,137.0218078613281
62.51,58,211840,211947,0.001,-45.352542650000004,493.3682279586792,2605,0.51,3611,135.51078186035156
61.75,58,211860,211971,0.001,-44.85232286,516.5753870010376,2606,0.52,3617,135.1680450439453
61.89,58,211880,211992,0.001,-44.89007518,398.44318675994873,2607,0.52,3630,136.005810546875
62.57,57,211980,212087,0.001,-44.946011719999994,651.4241485595703,2608,0.52,3659,136.62305145263673
61.66,57,,212096,,-41.888311849999994,,2609,0.53,3662,
61.78,57,212000,212114,0.001,-42.10283426,726.9451629638672,2610,0.53,3669,133.59307556152345
61.78,57,212100,212214,0.001,-41.41199993,540.875658416748,2611,0.53,3696,134.92540588378907
61.78,57,212200,212314,0.001,-40.84441400000001,427.23073425292966,2612,0.53,3713,135.8095260620117
60.93,57,212220,212329,0.001,-39.85750451,555.304931640625,2613,0.54,3717,134.97887725830077
61.86,56,212320,212429,0.001,-40.81032707,539.0620530128479,2614,0.53,3738,135.45905609130858
61.01,56,212340,212444,0.001,-40.48359275,495.198858833313,2615,0.54,3742,134.88441009521483
61.01,56,212440,212544,0.001,-39.11220189,534.1469478607178,2616,0.54,3769,135.6093002319336
61.01,55,212540,212644,0.001,-34.48632121,411.073299407959,2617,0.54,3811,135.6117950439453
61.59,55,212640,212744,0.001,-34.986986380000005,552.500934791565,2618,0.53,3849,135.17672576904297
61.59,54,212740,212844,0.001,-32.91404263,571.8151908874512,2619,0.53,3877,134.03151092529296
61.59,54,212840,212944,0.001,-32.96923358,388.18399991989133,2620,0.53,3900,135.741650390625
61.59,54,212940,213044,0.001,-33.281363750000004,519.2000759124755,2621,0.53,3923,136.15154418945312
61.6,54,,213051,,-33.27819075,,2622,0.53,3926,
60.82,54,212960,213073,0.001,-31.743164880000005,585.409760093689,2623,0.54,3939,134.0528137207031
60.82,53,213060,213173,0.001,-31.86631915,469.9592742919922,2624,0.54,3980,135.81525115966798
61.74,53,213160,213273,0.001,-32.18293641,578.238695526123,2625,0.53,4003,133.39327697753907
62.05,52,213260,213373,0.001,-33.43625281,557.6792066574096,2626,0.52,4044,135.58706970214843
62.05,52,213360,213473,0.001,-34.03261066,385.5699480056763,2627,0.52,4060,135.62036590576173
62.18,52,213380,213497,0.001,-34.07033258999999,534.8044216156006,2628,0.52,4069,133.78263778686522
62.2,52,213400,213512,0.001,-34.07140696999999,419.08687381744386,2629,0.52,4075,135.64686126708983
63.11,52,213500,213612,0.001,-35.10049606999999,544.0676658630371,2630,0.51,4104,133.51193237304688
63.83,51,213600,213712,0.001,-36.02481592,459.79996356964114,2631,0.5,4126,136.70763549804687
64.79,51,213700,213812,0.001,-36.970072099999996,405.0638317108154,2632,0.49,4150,133.81696624755858
64.76,51,,213816,,-36.961023260000005,,2633,0.49,4151,
64.76,51,213800,213916,0.001,-37.18967785,689.3579853057861,2634,0.49,4183,134.32666778564453
64.15,50,213840,213955,0.001,-36.44043579,464.99630508422854,2635,0.5,4202,137.07970581054687
64.15,50,213940,214055,0.001,-36.03901622,376.14912662506106,2636,0.5,4227,135.43415222167968
64.53,50,214040,214155,0.001,-36.658386039999996,513.42298412323,2637,0.49,4248,134.90142974853515
64.53,50,214140,214255,0.001,-37.150314990000005,337.8687026977539,2638,0.49,4275,135.44436798095703
63.78,49,214160,214280,0.001,-36.6000352,592.8755422592163,2639,0.5,4286,133.6720962524414
64.13,49,214200,214320,0.001,-36.59857507,299.5229700088501,2640,0.5,4301,135.53649444580077
63.5,49,214220,214324,0.001,-36.39378354,376.37946128845215,2641,0.5,4302,134.94348754882813
62.56,49,,214330,,-35.7856844,,2642,0.51,4304,
61.86,49,,214336,,-35.077320570000005,,2643,0.51,4316,
61.89,49,214240,214345,0.001,-35.08209787,537.0538187026978,2644,0.51,4320,134.59547424316406
61.89,49,214340,214445,0.001,-34.97405497,536.351330947876,2645,0.51,4356,135.76672821044923
62.68,48,214440,214545,0.001,-35.920058749999995,343.09711894989016,2646,0.5,4383,135.2904800415039
63.46,48,214540,214645,0.001,-36.520058739999996,572.9997447013855,2647,0.49,4406,135.93700408935547
64.05,48,214640,214745,0.001,-39.9863958,496.3736532211304,2648,0.48,4422,133.75737762451172
63.85,48,,214751,,-39.8684362,,2649,0.48,4424,
63.88,48,214660,214776,0.001,-39.96160274999999,328.2941682815552,2650,0.48,4434,135.05795593261718
64.66,48,214760,214876,0.001,-40.86782789,426.61124210357667,2651,0.47,4459,135.31415557861328
65.35,47,214860,214976,0.001,-40.94632894,373.1302358627319,2652,0.46,4490,135.24423065185547
66.11,47,214960,215076,0.001,-41.702363860000006,459.67062911987307,2653,0.45,4515,134.88220825195313
66.9,47,215060,215176,0.001,-43.13586012,374.24797801971437,2654,0.44,4551,137.53722686767577
66.9,46,215160,215276,0.001,-43.240139840000005,650.6161781311035,2655,0.44,4582,134.45369415283204
66.02,46,215180,215288,0.001,-42.860327960000006,361.2470848083496,2656,0.45,4591,134.43709411621094
65.99,46,215200,215303,0.001,-42.991569870000006,533.0593513488769,2657,0.45,4602,135.4563232421875
65.06,46,,215310,,-42.01153045,,2658,0.46,4604,
65.06,46,215300,215410,0.001,-42.03329202,461.0645420074463,2659,0.46,4629,135.73743591308593
64.26,46,215320,215430,0.001,-41.45207644,464.3889261245728,2660,0.47,4636,135.16745147705078
63.33,46,,215437,,-41.064232579999995,,2661,0.48,4639,
63.06,46,215340,215445,0.001,-41.00252734,559.3308115005493,2662,0.48,4643,134.15489807128907
63.06,46,215440,215545,0.001,-40.43625723,511.600828742981,2663,0.48,4667,134.93434295654296
63.06,45,215540,215645,0.001,-40.99786239000001,412.12587518692015,2664,0.48,4690,134.90574340820314
62.17,45,,215656,,-40.14367508,,2665,0.49,4693,
62.17,45,215640,215756,0.001,-39.831169450000004,597.3416946411132,2666,0.49,4713,135.26472930908204
61.32,45,215660,215771,0.001,-38.735168279999996,585.8567085266113,2667,0.5,4727,134.76979064941406
60.38,45,,215777,,-38.20492016,,2668,0.51,4730,
