time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
1990,-551.16938701,307600,154,100.0,76,15370,2583.21728515625,0.2,0.013741612434387207,0.030426396,0.8690574169158936,-7.670496559143066,0.012831301771075231,5166.6287109375,0.4919999897480011,0.0003
2004,-550.9698974900001,307700,153,100.0,77,15375,2504.6650390625,0.2,0.009575486183166504,0.7068068,0.8693372011184692,-7.669227409362793,0.04401860415819101,5010.9087890625,0.693999981880188,0.0003
2037,-550.7416147,307800,151,100.0,78,15380,2441.083984375,0.2,0.004548192024230957,2.3759265,0.8703560829162598,-7.673313903808594,0.09567092871657223,4882.85126953125,0.7499999880790711,0.0003
2074,-550.4063934999999,307900,148,100.0,79,15385,2779.328857421875,0.2,-0.07332015037536621,1.1550761,0.8711429834365845,-7.680405330657959,0.1389361934066983,5601.8029296875,0.6659999847412109,0.0003
2098,-550.16454095,308000,146,100.0,80,15390,2942.435302734375,0.2,-0.028451204299926758,0.076030545,0.871595025062561,-7.684582614898682,0.014265896183496806,5939.78876953125,0.3899999916553497,0.0003
2130,-549.89619672,308100,144,100.0,81,15395,2558.417236328125,0.2,0.018678784370422363,0.19865367,0.8718169927597046,-7.687100410461426,0.011062192587996834,5115.70859375,0.5959999680519104,0.0003
2163,-549.89722539,308200,142,100.0,82,15400,2494.080810546875,0.2,-0.019639968872070312,0.06180971,0.8719233870506287,-7.688263320922852,-0.004871448427365976,5051.2568359375,0.29599998891353607,0.0003
2202,-549.69365603,308300,139,100.0,83,15405,2564.8095703125,0.2,0.03258150815963745,0.18032993,0.8721263408660889,-7.6891247749328615,-0.015102989105071175,5123.36220703125,0.5159999966621399,0.0003
2235,-550.01367219,308400,137,100.0,84,15410,2484.5810546875,0.2,0.0059296488761901855,0.04157337,0.8722831606864929,-7.690529251098633,-0.00623712495143991,4994.836328125,0.2779999986290932,0.0003
2269,-549.6604861899999,308500,135,100.0,85,15415,2523.512451171875,0.2,0.013884365558624268,0.07895826,0.8725007772445679,-7.691639518737793,-0.01867042337253224,5089.4216796875,0.2960000023245811,0.0003
2305,-549.41326475,308600,133,100.0,86,15420,2400.419677734375,0.2,0.021049976348876953,0.08999039,0.8726754188537598,-7.693084621429444,-0.019574595242738725,4835.8068359375,0.4279999852180481,0.0003
2339,-549.2529445199999,308700,131,100.0,87,15425,2502.756103515625,0.2,0.007121622562408447,0.011888736,0.8725250959396362,-7.693521213531494,-0.0039951919025043026,5004.18544921875,0.24799999296665193,0.0003
2367,-548.8953991899999,308800,130,100.0,88,15430,2544.239013671875,0.2,-9.703636169433594e-05,0.07878783,0.872452437877655,-7.692257595062256,-0.011253741206019185,5104.01640625,0.39999998509883883,0.0003
2397,-548.72057574,308900,128,100.0,89,15435,2419.826904296875,0.2,-0.03603982925415039,0.07931976,0.8727878928184509,-7.692788314819336,-0.013647132784535642,4846.71630859375,0.45999999046325685,0.0003
2427,-548.34533975,309000,127,100.0,90,15440,2426.12548828125,0.2,0.022451579570770264,0.031660583,0.8731168508529663,-7.69534215927124,-0.0048156550416024405,4857.127734375,0.3759999990463257,0.0003
2451,-548.33536182,309100,126,100.0,91,15445,2487.183349609375,0.2,0.004528462886810303,0.0160399,0.8729356527328491,-7.696291446685791,0.00115259881131351,4976.86923828125,0.21799999475479126,0.0003
