rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-26.130767709999997,311920,89,3473,44.2,489.7266529083252,4648,0.001,0.69,121.00763626098633,312035
-26.13275216,311940,89,3477,44.13,457.9047924041748,4649,0.001,0.69,120.55469665527343,312045
-26.164056309999996,312040,88,3512,44.13,457.8924917221069,4650,0.001,0.69,120.62465972900391,312145
-26.535707239999997,312140,88,3538,44.13,448.4763355255127,4651,0.001,0.69,119.11615676879883,312245
-26.166173119999993,,88,3543,43.4,,4652,,0.69,,312255
-25.194696629999996,312160,88,3546,42.46,336.5212617874146,4653,0.001,0.7,121.62444076538085,312261
-25.20406877999999,,87,3548,42.45,,4654,,0.7,,312264
-25.233952249999998,,87,3550,42.12,,4655,,0.7,,312270
-24.629294639999998,,87,3554,41.19,,4656,,0.71,,312277
-24.68032892,312200,87,3567,41.32,364.9150966644287,4657,0.001,0.71,121.17934341430664,312307
-24.72825805,,87,3574,41.32,,4658,,0.71,,312311
-24.40072816,312300,86,3598,42.13,422.42254066467285,4659,0.001,0.7,119.88722152709961,312411
-24.15450859,,86,3601,41.74,,4660,,0.7,,312418
-23.144456800000004,312320,86,3603,40.79,481.8456146240234,4661,0.001,0.71,121.56273574829102,312423
-22.807896489999997,,86,3611,39.88,,4662,,0.72,,312432
-26.060930469999995,312420,86,3629,39.88,456.81985607147215,4663,0.001,0.72,121.79126205444337,312532
-26.074999359999996,312440,85,3652,39.96,470.31690826416013,4664,0.001,0.72,120.5280632019043,312554
-26.917277279999997,312540,85,3670,40.63,407.96877269744874,4665,0.001,0.71,120.73248901367188,312654
-26.837987289999997,,85,3673,40.34,,4666,,0.71,,312660
-26.815027169999997,312560,85,3674,40.3,493.76058731079104,4667,0.001,0.71,120.29165802001953,312663
-26.7678147,,85,3677,40.29,,4668,,0.71,,312669
-26.43974025,,84,3679,39.34,,4669,,0.72,,312674
-26.610871380000003,312660,84,3714,40.14,386.89744300842284,4670,0.001,0.71,120.35963134765625,312774
-22.479127469999998,312760,83,3738,40.14,409.63191242218016,4671,0.001,0.71,121.41465759277344,312874
