time/total timesteps,train/actor_loss,rollout/success rate,time/time_elapsed,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps
169600,144.67150268554687,0.0,17580,1696,505.40236949920654,169480,-121.31746368,0.001,100.0,9
170000,146.6930953979492,0.0,17694,1700,369.9008987426758,169880,-122.11082726999999,0.001,100.0,9
170400,145.6312026977539,0.0,17797,1704,274.67663650512696,170280,-122.13157232999998,0.001,100.0,9
170800,145.54969787597656,0.0,17882,1708,490.91549530029295,170680,-122.03711837000003,0.001,100.0,9
171200,145.0613998413086,0.0,17969,1712,521.5154834747315,171080,-122.79438012,0.001,100.0,9
171600,145.11268157958983,0.0,18069,1716,608.1720552444458,171480,-123.29102049,0.001,100.0,9
172000,145.28641815185546,0.0,18176,1720,437.5664354324341,171880,-124.2778031,0.001,100.0,9
172400,145.57276611328126,0.0,18288,1724,526.2294116973877,172280,-124.92100579999999,0.001,100.0,9
172800,145.99366149902343,0.0,18378,1728,337.8774629592896,172680,-125.54044603999999,0.001,100.0,9
173200,145.30805358886718,0.0,18485,1732,498.07811279296874,173080,-125.13727773,0.001,100.0,9
173600,145.2582046508789,0.0,18588,1736,483.4631135940552,173480,-124.4499944,0.001,100.0,9
174000,145.5356643676758,0.0,18673,1740,460.63346405029296,173880,-124.36393097,0.001,100.0,9
174400,145.21598205566406,0.0,18773,1744,400.1908208847046,174280,-123.59861143,0.001,100.0,9
174800,145.02359619140626,0.0,18864,1748,405.41742124557493,174680,-123.87114938999999,0.001,100.0,9
175200,145.49311370849608,0.0,18949,1752,490.0103126525879,175080,-123.94120938,0.001,100.0,9
175600,144.39897918701172,0.0,19043,1756,552.2254514694214,175480,-124.67849309000002,0.001,100.0,9
176000,146.5765365600586,0.0,19119,1760,296.89006862640383,175880,-126.19967415999997,0.001,100.0,9
176400,144.17443084716797,0.0,19214,1764,453.71078338623045,176280,-125.94089543999999,0.001,100.0,9
176800,144.93106079101562,0.0,19323,1768,487.9129144668579,176680,-126.00411238999999,0.001,100.0,9
177200,145.99372253417968,0.0,19418,1772,367.0894731521606,177080,-125.35432756,0.001,100.0,9
177600,143.9746109008789,0.0,19509,1776,443.5583360671997,177480,-125.41292583000002,0.001,100.0,9
178000,145.7115966796875,0.0,19608,1780,391.26749591827394,177880,-125.28890000000001,0.001,100.0,9
178400,144.71709136962892,0.0,19713,1784,520.5945960998536,178280,-124.31661394000001,0.001,100.0,9
178800,145.4015884399414,0.0,19825,1788,414.2471126556396,178680,-124.11108181000003,0.001,100.0,9
179200,145.61856994628906,0.0,19911,1792,518.6863693237304,179080,-123.89325408999999,0.001,100.0,8
179600,145.1788299560547,0.0,20015,1796,539.7920068740844,179480,-124.15867837,0.001,100.0,8
180000,145.7617416381836,0.0,20104,1800,427.48168020248414,179880,-123.91669970999999,0.001,100.0,8
180400,145.18350524902343,0.0,20197,1804,385.3495080947876,180280,-123.47643253999996,0.001,100.0,8
180800,144.33312225341797,0.0,20288,1808,298.8755777359009,180680,-123.61145059999997,0.001,100.0,8
181200,144.61809692382812,0.0,20394,1812,286.8950296401978,181080,-122.06417597000001,0.001,100.0,8
181600,144.38961181640624,0.0,20494,1816,372.66685581207275,181480,-121.87877740999998,0.001,100.0,8
182000,144.72058715820313,0.0,20631,1820,376.0579481124878,181880,-121.24635680999998,0.001,100.0,8
182400,144.7617401123047,0.0,20732,1824,489.38214511871337,182280,-121.06155954,0.001,100.0,8
182800,144.09426727294922,0.0,20830,1828,348.7052728652954,182680,-121.08499383999998,0.001,100.0,8
183200,144.07838745117186,0.0,20939,1832,565.1530408859253,183080,-120.41326144,0.001,100.0,8
183600,143.67420043945313,0.0,21050,1836,475.9031282424927,183480,-118.64471709,0.001,100.0,8
184000,143.80181884765625,0.0,21141,1840,459.2866052627563,183880,-118.66777222,0.001,100.0,8
184400,144.8482666015625,0.0,21245,1844,426.87019844055175,184280,-119.313567,0.001,100.0,8
184800,144.3591751098633,0.0,21322,1848,465.47142486572267,184680,-119.61595167,0.001,100.0,8
185200,145.23068542480468,0.0,21423,1852,296.8071301460266,185080,-120.28333615,0.001,100.0,8
185600,143.46351776123046,0.0,21530,1856,450.9879846572876,185480,-119.31987468000003,0.001,100.0,8
186000,143.619921875,0.0,21629,1860,561.3985168457032,185880,-118.74101325,0.001,100.0,8
186400,143.7269027709961,0.0,21732,1864,553.0126502990722,186280,-119.51006609,0.001,100.0,8
186800,143.32463684082032,0.0,21828,1868,543.7814796447753,186680,-119.87544645999998,0.001,100.0,8
187200,144.9873519897461,0.0,21931,1872,286.6767524719238,187080,-119.75733875999998,0.001,100.0,8
187600,144.35706939697266,0.0,22047,1876,464.7672515869141,187480,-119.29914858999997,0.001,100.0,8
188000,143.66645355224608,0.0,22133,1880,450.7267713546753,187880,-120.09251662000001,0.001,100.0,8
188400,144.1337463378906,0.0,22232,1884,334.81812324523924,188280,-120.24374605000001,0.001,100.0,8
188800,144.0558120727539,0.0,22321,1888,343.3279293060303,188680,-121.52722793999999,0.001,100.0,8
189200,142.96454467773438,0.0,22413,1892,439.14246635437013,189080,-121.81265724999999,0.001,100.0,8
189600,143.5391632080078,0.0,22536,1896,361.3475540161133,189480,-121.27136944,0.001,100.0,8
190000,142.8510299682617,0.0,22627,1900,512.6354568481445,189880,-121.48258271,0.001,100.0,8
190400,143.86170806884766,0.0,22720,1904,418.4146478652954,190280,-121.12775447999998,0.001,100.0,8
190800,144.54584197998048,0.0,22801,1908,271.038556098938,190680,-120.96666011999997,0.001,100.0,8
191200,143.74680938720704,0.0,22898,1912,479.6428020477295,191080,-122.21452412999999,0.001,100.0,8
191600,143.38186950683593,0.0,22975,1916,347.25250511169435,191480,-123.22393814000002,0.001,100.0,8
192000,143.85095672607423,0.0,23085,1920,302.28059368133546,191880,-122.93191343999999,0.001,100.0,8
192400,142.86814727783204,0.0,23164,1924,590.5285758972168,192280,-123.47672321999998,0.001,100.0,8
192800,143.56406860351564,0.0,23264,1928,479.5267484664917,192680,-123.66447486000003,0.001,100.0,8
193200,143.5583969116211,0.0,23338,1932,465.9263986587524,193080,-125.25745755,0.001,100.0,8
193600,143.57191009521483,0.0,23431,1936,459.3606380462646,193480,-126.78062316000002,0.001,100.0,8
194000,145.24832305908203,0.0,23534,1940,207.39209957122802,193880,-125.74924652,0.001,100.0,8
194400,143.89520263671875,0.0,23627,1944,391.1963411331177,194280,-125.90245548000001,0.001,100.0,8
194800,144.42538452148438,0.0,23734,1948,278.57871570587156,194680,-125.90411377000002,0.001,100.0,8
195200,144.25753479003907,0.0,23842,1952,362.12229042053224,195080,-125.24917009000002,0.001,100.0,8
195600,144.0657760620117,0.0,23929,1956,215.46310977935792,195480,-125.6899595,0.001,100.0,8
196000,143.634423828125,0.0,24015,1960,443.6515691757202,195880,-125.38343418999999,0.001,100.0,8
196400,142.74815216064454,0.0,24099,1964,470.51342086791993,196280,-124.66703756999998,0.001,100.0,8
196800,144.4299575805664,0.0,24200,1968,282.76561470031737,196680,-123.43230949,0.001,100.0,8
197200,143.84862823486327,0.0,24303,1972,371.04923458099364,197080,-123.07017316,0.001,100.0,8
197600,144.38182830810547,0.0,24411,1976,359.980495929718,197480,-122.62375657000001,0.001,100.0,8
198000,143.10527954101562,0.0,24488,1980,398.9653162002563,197880,-122.65396145000001,0.001,100.0,8
198400,142.72466888427735,0.0,24598,1984,434.546563911438,198280,-122.44538327999997,0.001,100.0,8
198800,143.154052734375,0.0,24704,1988,388.0392824172974,198680,-121.71336647,0.001,100.0,8
199200,143.89660186767577,0.0,24803,1992,425.1252447128296,199080,-120.57673666,0.001,100.0,8
199600,144.3097152709961,0.0,24912,1996,440.31759452819824,199480,-120.73701668999998,0.001,100.0,8
200000,142.70207672119142,0.0,25009,2000,570.2212020874024,199880,-119.80669905,0.001,100.0,7
