time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
118,3530,0.08,94.41,3,11241,-9787.753203659999,11140,0.001,188284.6724609375,3036.9044189453125
119,3551,0.09,94.2,3,11320,-9789.05583948,11200,0.001,98454.0478515625,3086.9420166015625
120,3564,0.09,94.2,3,11420,-9810.84528821,11300,0.001,239707.042578125,3052.0350830078123
121,3685,0.09,94.2,3,11520,-9770.970759479998,11400,0.001,241189.991015625,3085.5160888671876
122,3709,0.09,94.2,3,11620,-9733.314013469999,11500,0.001,247448.8953125,3072.3785888671873
123,3727,0.09,94.2,3,11720,-9737.78437421,11600,0.001,263927.1634765625,3085.7282470703126
124,3757,0.08,94.73,3,11820,-9814.901835019999,11700,0.001,213062.3013671875,3131.3469970703127
125,3771,0.08,94.73,3,11920,-9867.749139279998,11800,0.001,212192.8435546875,3148.25380859375
126,3815,0.08,94.73,3,12020,-9884.910776879999,11900,0.001,180367.1255859375,3182.184521484375
127,3837,0.08,94.73,3,12120,-9911.377168469999,12000,0.001,280552.1001953125,3194.604833984375
128,3850,0.08,94.73,3,12220,-9502.19850226,12100,0.001,264030.86953125,3188.7559326171877
129,3865,0.08,94.73,3,12320,-9505.156681559998,12200,0.001,196704.21845703124,3235.417529296875
130,3913,0.08,94.73,3,12420,-9059.52165639,12300,0.001,209417.451171875,3247.730029296875
131,3929,0.08,94.73,3,12520,-9041.88016445,12400,0.001,197794.3802734375,3282.733740234375
132,3968,0.08,94.73,3,12620,-8989.6165174,12500,0.001,345880.827734375,3299.2151123046874
133,3993,0.08,94.73,3,12720,-8938.08159194,12600,0.001,233904.4142578125,3296.6707763671875
134,4037,0.08,94.73,3,12820,-8958.299606149998,12700,0.001,309270.83466796874,3334.6135986328127
135,4059,0.08,94.73,3,12920,-8940.517075229998,12800,0.001,266373.27265625,3362.6568359375
136,4072,0.08,94.73,3,13020,-8981.5097245,12900,0.001,267953.521484375,3381.2405517578127
137,4100,0.08,94.73,3,13120,-8969.005889119999,13000,0.001,283235.3439453125,3407.83837890625
138,4124,0.08,94.73,3,13220,-8898.91474508,13100,0.001,240082.6828125,3409.5555908203123
139,4138,0.08,94.73,3,13320,-8881.018805259999,13200,0.001,275232.561328125,3475.1217529296873
140,4152,0.08,94.73,3,13420,-8875.46052465,13300,0.001,242400.0958984375,3446.718994140625
141,4189,0.08,94.73,3,13520,-8797.15069264,13400,0.001,211885.7494140625,3479.7026123046876
142,4208,0.08,94.73,3,13620,-8779.119968070001,13500,0.001,318319.6822265625,3452.7583740234377
143,4235,0.08,94.73,3,13720,-8718.52809706,13600,0.001,299257.205859375,3499.2679443359375
144,4274,0.08,94.73,3,13820,-8732.78859701,13700,0.001,288528.255078125,3514.410302734375
145,4310,0.08,94.73,3,13920,-8268.388288920001,13800,0.001,266563.711328125,3547.1191650390624
146,4335,0.08,94.73,3,14020,-8211.84619656,13900,0.001,287704.2333007812,3580.24755859375
147,4423,0.08,94.73,3,14120,-7479.347419110001,14000,0.001,330240.3884765625,3575.8547119140626
148,4445,0.07,95.51,3,14220,-7506.52320461,14100,0.001,308096.0443359375,3598.9757080078125
149,4494,0.07,95.51,3,14320,-7599.5603881900015,14200,0.001,438580.6787109375,3568.109228515625
150,4512,0.07,95.51,3,14420,-7631.49310349,14300,0.001,391959.3365234375,3615.125732421875
151,4531,0.07,95.51,3,14520,-7592.011384410001,14400,0.001,310402.8470703125,3643.8786865234374
152,4579,0.07,95.51,3,14620,-7537.37120906,14500,0.001,164195.563671875,3665.2987548828123
153,4603,0.07,95.51,3,14720,-7570.39001169,14600,0.001,389844.6494140625,3686.36162109375
154,4648,0.07,95.51,3,14820,-7526.05958976,14700,0.001,226231.0341796875,3676.4338134765626
155,4682,0.07,95.51,3,14920,-7535.51194197,14800,0.001,314913.7884765625,3696.819921875
156,4710,0.07,95.51,3,15020,-7535.578597890001,14900,0.001,260033.692578125,3714.65830078125
157,4736,0.07,95.51,3,15120,-7586.627467810001,15000,0.001,268904.52568359376,3699.74638671875
158,4775,0.07,95.51,3,15220,-7649.76672294,15100,0.001,261004.327734375,3781.1783447265625
159,4818,0.07,95.51,3,15320,-7611.904523360001,15200,0.001,364609.5017578125,3780.557275390625
160,4847,0.07,95.51,3,15420,-7671.8031339300005,15300,0.001,338358.03349609376,3790.467333984375
161,4864,0.07,95.51,3,15520,-7669.40842299,15400,0.001,301259.047265625,3791.7688720703127
162,4908,0.07,95.51,3,15620,-7625.2414180999995,15500,0.001,335386.1747070312,3790.308740234375
163,4973,0.07,95.51,3,15720,-8232.69905913,15600,0.001,312802.0830078125,3841.562255859375
164,5006,0.07,95.51,3,15820,-8198.856492540002,15700,0.001,382645.3734375,3848.13076171875
165,5022,0.07,95.51,3,15920,-8227.95579674,15800,0.001,300364.02890625,3879.63115234375
166,5059,0.07,95.51,3,16020,-8255.165838350002,15900,0.001,448598.3451171875,3852.61787109375
167,5083,0.07,95.51,3,16120,-8284.593990250001,16000,0.001,321861.8392578125,3892.99580078125
168,5128,0.07,95.51,3,16220,-8115.042546580002,16100,0.001,395661.93994140625,3927.3249267578126
169,5151,0.07,95.51,3,16320,-8184.022198490002,16200,0.001,295521.584765625,3931.2097900390627
170,5248,0.07,95.51,3,16420,-8198.779066890002,16300,0.001,446504.022265625,3929.05810546875
171,5288,0.07,95.51,3,16520,-8190.38279268,16400,0.001,366705.55390625,3970.117724609375
172,5364,0.07,95.51,3,16620,-8172.71170926,16500,0.001,423628.4802734375,3980.740625
173,5389,0.07,95.51,3,16720,-8162.862316490001,16600,0.001,316106.871484375,3952.584033203125
174,5420,0.07,95.51,3,16820,-8119.854081989999,16700,0.001,486878.7107421875,3987.8798583984376
175,5449,0.08,94.83,3,16852,-8025.345117730001,16740,0.001,412493.70263671875,3967.680517578125
176,5477,0.08,94.83,3,16952,-7995.8989863900015,16840,0.001,301273.710546875,4042.540234375
177,5507,0.08,94.83,3,17052,-8052.585847760002,16940,0.001,461457.4166015625,3978.326220703125
178,5542,0.08,94.83,3,17152,-8028.797052560001,17040,0.001,514681.5359375,4017.695068359375
179,5558,0.09,93.97,3,17166,-7982.177636789999,17060,0.001,377839.3615234375,4016.117919921875
180,5643,0.09,93.97,3,17266,-7928.39796616,17160,0.001,430852.440625,4065.72841796875
181,5737,0.09,93.97,3,17366,-7857.245808839999,17260,0.001,367691.763671875,4079.9204345703124
182,5771,0.09,93.97,3,17466,-7800.78424279,17360,0.001,369093.7537109375,4062.70302734375
183,5809,0.09,93.97,3,17566,-7736.614027169999,17460,0.001,359155.0048828125,4106.649633789062
184,5854,0.09,93.97,3,17666,-7726.35456476,17560,0.001,354173.733984375,4103.092602539063
185,5877,0.09,93.97,3,17766,-7712.43583091,17660,0.001,417329.5734375,4128.9334716796875
186,5895,0.09,93.97,3,17866,-7676.423160020001,17760,0.001,349429.0572265625,4150.9951171875
187,5981,0.1,93.24,2,17893,-7601.22152187,17780,0.001,412907.95859375,4153.3271484375
188,6029,0.1,93.24,2,17993,-7648.845591169999,17880,0.001,343598.11015625,4192.380444335938
189,6066,0.1,93.24,2,18093,-7641.32901114,17980,0.001,336117.2890625,4186.37509765625
190,6099,0.1,93.24,2,18193,-7628.5953229,18080,0.001,376390.2216796875,4182.174291992187
191,6136,0.1,93.24,2,18293,-7599.330610399999,18180,0.001,503007.8685546875,4195.472705078125
192,6174,0.1,93.24,2,18393,-7590.9910662,18280,0.001,347872.559765625,4231.520361328125
193,6220,0.1,93.24,2,18493,-7530.937344430001,18380,0.001,412679.616015625,4213.31455078125
194,6260,0.09,93.39,2,18593,-7578.63366913,18480,0.001,322184.570703125,4220.14375
195,6279,0.09,93.39,2,18693,-7617.5039954799995,18580,0.001,402124.95048828126,4254.788818359375
196,6343,0.09,93.39,2,18793,-7579.82159097,18680,0.001,483206.0771484375,4251.00634765625
197,6375,0.08,94.3,2,18893,-7635.84754477,18780,0.001,479947.7818359375,4249.546875
198,6399,0.07,95.15,2,18993,-7677.644361500001,18880,0.001,596701.2169921875,4243.145263671875
199,6426,0.07,95.15,2,19093,-7756.175735380001,18980,0.001,427919.827734375,4299.16630859375
200,6468,0.06,95.73,2,19193,-7831.933976770001,19080,0.001,231724.88544921874,4346.06171875
201,6489,0.06,95.73,2,19293,-7755.38035132,19180,0.001,479481.0791015625,4345.405078125
202,6507,0.06,95.73,2,19393,-7783.407709710001,19280,0.001,420914.8642578125,4349.7505859375
203,6535,0.06,95.73,2,19493,-7779.808105150001,19380,0.001,576509.6677734375,4326.697509765625
204,6577,0.06,95.73,2,19593,-7804.720761130002,19480,0.001,530870.409765625,4358.94365234375
205,6603,0.06,95.73,2,19693,-7831.86472591,19580,0.001,490096.98359375,4395.874560546875
206,6645,0.06,95.73,2,19793,-7777.9521712800015,19680,0.001,591236.019140625,4405.141357421875
207,6667,0.06,95.73,2,19893,-7779.89387561,19780,0.001,530664.858203125,4418.885107421875
208,6723,0.06,95.73,2,19993,-7719.81497015,19880,0.001,335472.60390625,4449.5361328125
209,6759,0.06,95.73,2,20093,-7682.91198675,19980,0.001,400855.38203125,4465.3556640625
210,6808,0.06,95.73,2,20193,-7699.807699739999,20080,0.001,432072.8935546875,4440.68056640625
211,6840,0.05,96.59,2,20293,-7734.76502262,20180,0.001,447621.2755859375,4477.58359375
212,6854,0.05,96.59,2,20393,-7786.745969510001,20280,0.001,520618.2197265625,4444.1599609375
213,6875,0.06,95.74,2,20408,-7350.933893689999,20300,0.001,424999.29453125,4509.310888671875
