time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
3340,248718,0.001,17,13941,54.92,-82.06270208,316.3398742675781,248600,0.59,1980.731494140625
3344,248952,0.001,17,14002,54.17,-76.05600165,313.3296356201172,248840,0.6,2849.7426879882814
3348,249205,0.001,17,14060,53.18,-76.72139050999999,314.1487579345703,249100,0.62,2775.6958969116213
3352,249513,0.001,17,14121,54.93,-81.62174094999999,314.93898010253906,249400,0.6,2350.443480682373
3356,249857,0.001,17,14219,57.87,-89.84736462,312.3710479736328,249740,0.58,2796.5239028930664
3360,250029,0.001,17,14276,57.23,-89.25517359999998,316.3402404785156,249920,0.59,2075.350304412842
3364,250108,0.001,17,14307,55.44,-87.52198575,314.3712615966797,250000,0.61,1602.0212631225586
3368,250417,0.001,17,14398,55.41,-87.68715193,313.10108337402346,250300,0.62,2710.6710037231446
3372,250616,0.001,17,14454,57.1,-92.20907277,315.3969268798828,250500,0.61,2003.4994094848632
3376,250795,0.001,17,14507,55.2,-80.11740266,315.4628204345703,250680,0.63,2351.49013671875
3380,250889,0.001,17,14542,53.45,-73.91842773,313.3189392089844,250780,0.65,2469.5847404479982
3384,251103,0.001,17,14603,52.54,-77.33837258,313.0171203613281,251000,0.66,2682.332536315918
3388,251268,0.001,17,14646,51.87,-82.34162786,313.0313232421875,251160,0.66,2524.1022636413572
3392,251493,0.001,17,14719,51.83,-83.54096708000002,312.5349853515625,251380,0.66,3147.23516998291
3396,251772,0.001,17,14803,53.43,-84.73294611000001,312.0296142578125,251660,0.65,2729.0135299682615
3400,252006,0.001,16,14875,53.27,-82.81960460999998,312.8628723144531,251900,0.64,2105.0559020996093
3404,252054,0.001,16,14897,50.7,-79.36240512,312.71718444824216,251940,0.66,3170.093501281738
3408,252266,0.001,16,14963,51.32,-76.19133452999999,310.2042175292969,252160,0.65,2817.2995986938477
3412,252510,0.001,16,15027,51.63,-78.57527505,314.421142578125,252400,0.65,2092.0348098754885
3416,252628,0.001,16,15074,50.19,-77.26802686,319.253369140625,252520,0.66,2338.6058090209963
3420,252872,0.001,16,15143,51.94,-77.74527394,312.49066467285155,252760,0.64,2717.1912170410155
3424,252899,0.001,16,15164,51.29,-77.64279606,313.55360717773436,252780,0.64,3073.3058334350585
3428,253076,0.001,16,15215,51.66,-76.81188249,315.1940032958984,252960,0.64,2870.9795532226562
3432,253325,0.001,16,15284,50.15,-72.69672347,313.9541412353516,253220,0.66,2826.133106994629
3436,253448,0.001,16,15315,49.47,-72.67315319,315.16151123046876,253340,0.67,2587.9109184265135
3440,253757,0.001,16,15409,50.39,-73.82206839999999,315.5022277832031,253640,0.65,2092.125505065918
3444,254076,0.001,16,15511,51.24,-70.88425421,313.8032653808594,253960,0.66,3044.330540466309
3448,254167,0.001,16,15541,49.62,-65.53776146999999,316.40874633789065,254060,0.67,1963.82921295166
3452,254228,0.001,16,15569,47.15,-60.733999870000005,311.9602966308594,254120,0.7,3504.9958160400392
3456,254381,0.001,16,15622,45.24,-53.67970332,314.86375427246094,254280,0.71,2370.83095703125
3460,254607,0.001,16,15684,45.78,-54.795691270000006,316.79210205078124,254500,0.71,2173.118128967285
3464,254811,0.001,16,15752,47.03,-58.6839894,314.91913452148435,254700,0.7,2736.550816345215
3468,255115,0.001,16,15820,46.98,-55.911866999999994,316.9251007080078,255000,0.69,2207.124621582031
3472,255169,0.001,16,15842,45.53,-51.50380013000001,313.9737091064453,255060,0.7,2913.2269149780273
3476,255397,0.001,16,15900,46.02,-56.57580318,314.191748046875,255280,0.69,2452.4277679443358
3480,255532,0.001,16,15946,46.43,-57.139150629999996,318.03191833496095,255420,0.69,2796.428257751465
3484,255770,0.001,15,16028,46.67,-56.37015108,313.9988159179687,255660,0.69,3288.6802093505858
