train/critic_loss,time/fps,rollout/ep_len_mean,time/total timesteps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/episodes,rollout/success rate
292.8808579444885,19,100.0,251200,251080,140.0171127319336,-118.79210345999998,0.001,13018,2512,0.0
415.59144887924197,19,100.0,251600,251480,136.8860061645508,-118.28944264999998,0.001,13103,2516,0.0
362.1140594482422,19,100.0,252000,251880,138.72099761962892,-119.15218770999999,0.001,13218,2520,0.0
240.75576829910278,18,100.0,252400,252280,139.04825744628906,-118.64408271,0.001,13328,2524,0.0
357.21286926269534,18,100.0,252800,252680,138.5291946411133,-119.47806431,0.001,13419,2528,0.0
292.59789543151857,18,100.0,253200,253080,138.56499481201172,-120.96319892999998,0.001,13518,2532,0.0
339.50411796569824,18,100.0,253600,253480,137.71287536621094,-121.4747097,0.001,13592,2536,0.0
539.7159584999084,18,100.0,254000,253880,137.02983856201172,-121.45519215,0.001,13680,2540,0.0
408.3735014915466,18,100.0,254400,254280,137.3460250854492,-122.87105444,0.001,13773,2544,0.0
484.723983001709,18,100.0,254800,254680,137.55266265869142,-123.02697518999997,0.001,13877,2548,0.0
394.08621044158934,18,100.0,255200,255080,137.2014953613281,-123.96248804000001,0.001,13963,2552,0.0
486.1772994995117,18,100.0,255600,255480,136.50706787109374,-124.27156910000002,0.001,14064,2556,0.0
340.438889503479,18,100.0,256000,255880,138.64998321533204,-124.91953654000002,0.001,14143,2560,0.0
183.0936508178711,18,100.0,256400,256280,137.3482879638672,-125.90575636,0.001,14227,2564,0.0
261.6665291786194,17,100.0,256800,256680,137.94642486572266,-126.50029409999999,0.001,14328,2568,0.0
277.63646240234374,17,100.0,257200,257080,137.20054931640624,-128.09882874000002,0.001,14395,2572,0.0
580.5788970947266,17,100.0,257600,257480,135.81212615966797,-127.99211841999998,0.001,14479,2576,0.0
370.55790576934817,17,100.0,258000,257880,135.58934936523437,-130.54109337,0.001,14562,2580,0.0
284.8347792625427,17,100.0,258400,258280,137.53541259765626,-130.71663226,0.001,14647,2584,0.0
441.4794458389282,17,100.0,258800,258680,136.54324340820312,-133.07806717000003,0.001,14746,2588,0.0
478.4378664970398,17,100.0,259200,259080,135.93252716064453,-133.57887267,0.001,14836,2592,0.0
468.3793555259705,17,100.0,259600,259480,133.70181121826172,-133.99446589000001,0.001,14913,2596,0.0
366.73683700561526,17,100.0,260000,259880,135.6065185546875,-132.74677749,0.001,15027,2600,0.0
416.8474077224731,17,100.0,260400,260280,135.415283203125,-133.56488459,0.001,15143,2604,0.0
414.7687887191772,17,100.0,260800,260680,134.8979034423828,-132.77044021,0.001,15240,2608,0.0
307.66780309677125,17,100.0,261200,261080,134.95204010009766,-133.99552215,0.001,15313,2612,0.0
215.58004035949708,17,100.0,261600,261480,134.7809814453125,-133.81090909,0.001,15386,2616,0.0
334.2737279891968,16,100.0,262000,261880,134.97198333740235,-133.91622387,0.001,15492,2620,0.0
303.3133418083191,16,100.0,262400,262280,135.5278747558594,-134.10217858,0.001,15594,2624,0.0
262.97522163391113,16,100.0,262800,262680,135.6787582397461,-133.17246870999998,0.001,15692,2628,0.0
472.74855651855466,16,100.0,263200,263080,133.26236267089843,-131.77729514,0.001,15792,2632,0.0
472.7585250854492,16,100.0,263600,263480,133.0902328491211,-130.4324805,0.001,15894,2636,0.0
333.8954267501831,16,100.0,264000,263880,135.27373352050782,-129.8167282,0.001,15996,2640,0.0
353.9365833282471,16,100.0,264400,264280,134.65105133056642,-129.34910087000003,0.001,16083,2644,0.0
358.5138481140137,16,100.0,264800,264680,134.51589965820312,-129.23808939000003,0.001,16175,2648,0.0
329.06961784362795,16,100.0,265200,265080,134.4305877685547,-128.37198076,0.001,16279,2652,0.0
402.6810060501099,16,100.0,265600,265480,133.83970336914064,-128.47922288,0.001,16386,2656,0.0
378.9617039680481,16,100.0,266000,265880,133.9106918334961,-127.47110027999999,0.001,16486,2660,0.0
420.2317341804504,16,100.0,266400,266280,133.60574340820312,-126.6646713,0.001,16610,2664,0.0
314.6762144088745,15,100.0,266800,266680,134.25199279785156,-127.56230799999999,0.001,16682,2668,0.0
388.04087591171265,15,100.0,267200,267080,133.65225830078126,-125.91169521,0.001,16787,2672,0.0
447.5933562278748,15,100.0,267600,267480,133.43799438476563,-124.79289578999999,0.001,16903,2676,0.0
462.6484102249145,15,100.0,268000,267880,133.41553955078126,-123.37712333000002,0.001,17016,2680,0.0
287.20248079299927,15,100.0,268400,268280,134.46351470947266,-123.31974494999999,0.001,17104,2684,0.0
402.1187912940979,15,100.0,268800,268680,133.41219940185547,-123.01734213999998,0.001,17216,2688,0.0
349.7690264701843,15,100.0,269200,269080,134.48977813720703,-122.88280151,0.001,17294,2692,0.0
382.8069389343262,15,100.0,269600,269480,133.59151153564454,-123.00222050999997,0.001,17395,2696,0.0
449.55245542526245,15,100.0,270000,269880,132.7809036254883,-122.21585046999999,0.001,17490,2700,0.0
